Modelo y Tamaño,Prompt,Entrada,Salida,Observaciones
llama3:8b,Clasificación directa,"Total waste of time, I got banned for no reason and support never replied.",Negativo ,Identificación robusta: detecta correctamente términos de carga negativa fuerte.
llama3:8b,Clasificación directa,"Too many paywalls, you can't even talk to people unless you buy the premium.",Negativo ,"Precisión alta: reconoce la queja sobre el modelo de negocio ""freemium""."
llama3:8b,Clasificación directa,"This app is just a cash grab, I haven't seen a single real profile.",Negativo ,"Identificación correcta: interpreta correctamente ""cash grab"" como crítica negativa."
llama3:8b,Clasificación directa,I reported someone for harassment and nothing happened. Unsafe platform.,Negativo ,Robustez ante temas sensibles: clasifica correctamente fallos de moderación.
llama3:8b,Clasificación directa,Constant glitches and the app freezes whenever I try to send a message.,Negativo ,Detección eficaz: identifica fallos técnicos como sentimiento negativo.
llama3:8b,Clasificación directa,"It's an okay app, but I haven't really met anyone special after a month.",Neutro,"Clasificación precisa: maneja bien la estructura de ""opinión mixta pero globalmente neutra""."
llama3:8b,Clasificación directa,"The interface is decent, but the matches are pretty hit-or-miss sometimes.",Neutro,"Clasificación precisa: el término ""hit-or-miss"" es interpretado correctamente como neutro."
llama3:8b,Clasificación directa,"It's literally same as any other dating app, nothing special here.",Negativo ,"Falso Negativo: Error de clasificación, el modelo confunde falta de originalidad con negatividad."
llama3:8b,Clasificación directa,"I've been using it for a while, it’s fine but I'm still deciding.",Neutro,Clasificación precisa: detecta indecisión sin carga emocional negativa.
llama3:8b,Clasificación directa,"Some features are cool, but the subscription price is a bit high.",Neutro ,Clasificación precisa: balancea el lado positivo con el negativo del precio.
llama3:8b,Clasificación directa,Met my partner here and we've been married for over a year now! Simply amazing.,Positivo ,Alta precision: identifica correctamente el sentimiento positivo de éxito personal.
llama3:8b,Clasificación directa,"Great app, the prompts really help start conversations with people you like.",Positivo ,Precisión alta: reconoce el valor de las funcionalidades de la app como positivo.
llama3:8b,Clasificación directa,"Best dating app I've used, very intuitive and the matches are high quality.",Positivo ,Robustez: identifica superlativos de satisfacción sin ambigüedad.
