content,prediction
"I’d say some profiles are detailed, but a lot of them are pretty empty. That gets frustrating after a while.",0
Everyone says this app is free but it keeps asking me for money.,0
it's literally same as any other dating app like bumble or tinder. don't get deceived by their advertisements,1
So far so good. :),2
It's rubbish simple as.,0
"Esta app está diseñada potencialmente para personas ""tímidas"" creyentes del horóscopo y mbti, tiene ciertos aires de querer ser una app tipo _Tinder_ aunque es mucho más -family friendly- personalmente no me termina de convencer ya que ¿Por qué alguien realmente tímido quisiera compartir sus datos o fotos en cualquier red social? Vale que pretenda dar el primer paso ¿Y luego qué? A parte de las conversaciones 'profundas' que se puedan dar aquí, la socialización en el mundo real es muy diferente.",1
"Wide app ,covers every aspect of personality",2
Nice,2
Still navigating the app. So far it's ery interesting :D,2
👍,2
"Nice and user friendly interface. The face recognition, win for safety.",2
Great app,2
Super,2
Pretty alright so far.,1
Pretty positive so far,1
Such an awesome app. Never thought I'd be scrolling through the Metaverse,2
"So far, seems much better than other dating apps for finding compatible long term matches",1
Awesome app to use,2
It's real it's just hard to find people who like you. Overall better than any dating app and gives you free coins off the bat. This is the best,2
Good app 🚶👍,2
Best app ever,2
Good,2
👍🏽👍🏽,2
This application shows that a premise of social media can be reinterpreted in various ways. I like the target points of producers which tried to differentiate themselves to other apps by providing a platform to flourish deep conversation below the surface layer. This app has potential to be huge.,2
Next time I will better rateing but firest you solve some problem.,0
No idea yet. Barely had time to install the thing before it prompted me for a rating.,1
"ta bueno, es gratis",2
It's more affordable and good than other dating apps.,2
Looks good so far,1
"So far so good , much better than tinder",2
Nice apps,2
cannot even verify myself,0
Best experience ever,2
Good,2
One of the best dating app I ever found,2
It's a great app. It has alot that's the same as every other app but it's nice you don't get blocked to see who liked you. Obviously you can subscribe to enjoy more features but other than that it's not bad.,1
"So far, some profiles are detailed, but a lot of them are pretty empty. It makes the app feel less active.",1
"So far, most of the matches I see are way too far away. It makes it harder to actually meet someone.",0
Eh,1
niceee and smooth trying,2
Probanbola,1
Good,2
Good app but it forces you to pay the premium benefits,1
So far so good,1
The main issue for me is that most of the matches I see are way too far away.,1
Great,2
Love it,2
I like it,2
Easy to use,2
Great app!,2
It's smooth and cute app,2
I hope everyone who is in the application is not a scam. and they are really serious about looking for a partner,1
Seems good,1
Great app it should earn a five star 💫💫,2
Best,2
I literally just joined and I am writing this review to save Boo! The app is cute and fun so far. 🤷‍♀️,2
Great app,2
Nice,2
Good,2
Nice app,2
"Red Flag/Temporary Ban JUST for any # less than 18 thanks to a very stupid algorithm. I gave 2 stars instead of 1 only because customer service has been very quick to help me get out of ""the Shadow Realm"" SEVERAL TIMES THIS MONTH.",0
Very good app,2
Nice,2
Nice,2
Nice,2
fun but su ks canntont talk,1
Just downloaded this app so far having a good time haven't met nobody yet,1
Good app,2
Still new,1
Ehh,1
I'm just happy,2
"So far, so good. I actually just started on it.",1
Yes testing it for now,1
I can interact with people without matching first.,2
"Bem intuitivo, iniciei a usar tem algumas horas, e me parece ser um bom app. Fora dos clichês do mercado.",2
Great,2
I like this concept of dating,2
So crazy personality test it has max level accuracy,2
It's nice,2
Ever good dateing app,2
Interessante até o momento,2
"This is Jhaatu app, it also needs money",1
It's cool so far,1
good app,2
Just started and still learning how to use it,1
Cool app,2
More to do than other similar apps,1
So far so good,1
Haven't talked to anyone yet but I really like the features in the personality test and tips on how to flirt with the person of opposite personality. The ads are non intrusive and the app works well. I would give it a 5 stars but at the end of the day it's a dating app that gets the most out of services behind a paywall.,1
Just started.... It seems pretty cool so far.,1
so far so good,1
Nice,2
I m new so don't know much,1
It's alright,1
Idk yet,1
"I like the app, simple to use!",2
Good app,2
Only people from my own country. Nth special about the app,0
Idea is sound but in pratice it lacks vommunity and spams.,0
ok nice,1
